test_id,array_size,sort_method,timestamp
0,50,bubble_sort,83068.0 ns
0,50,selection_sort,279409.0 ns
0,50,insertion_sort,103079.0 ns
0,50,heap_sort,755.0 ns
0,50,merge_sort,-755.0 ns
0,50,quick_sort,755.0 ns
0,50,count_sort,377.0 ns
0,50,bucket_sort,377.0 ns
0,50,radix_sort,378.0 ns
1,50,bubble_sort,522572.0 ns
1,50,selection_sort,47575.0 ns
1,50,insertion_sort,38890.0 ns
1,50,heap_sort,378.0 ns
1,50,merge_sort,-378.0 ns
1,50,quick_sort,378.0 ns
1,50,count_sort,378.0 ns
1,50,bucket_sort,378.0 ns
1,50,radix_sort,0.0 ns
2,50,bubble_sort,74006.0 ns
2,50,selection_sort,46065.0 ns
2,50,insertion_sort,38136.0 ns
2,50,heap_sort,377.0 ns
2,50,merge_sort,-378.0 ns
2,50,quick_sort,378.0 ns
2,50,count_sort,0.0 ns
2,50,bucket_sort,0.0 ns
2,50,radix_sort,0.0 ns
3,50,bubble_sort,73628.0 ns
3,50,selection_sort,47953.0 ns
3,50,insertion_sort,38891.0 ns
3,50,heap_sort,377.0 ns
3,50,merge_sort,0.0 ns
3,50,quick_sort,378.0 ns
3,50,count_sort,378.0 ns
3,50,bucket_sort,377.0 ns
3,50,radix_sort,378.0 ns
4,50,bubble_sort,95905.0 ns
4,50,selection_sort,46820.0 ns
4,50,insertion_sort,37002.0 ns
4,50,heap_sort,378.0 ns
4,50,merge_sort,-377.0 ns
4,50,quick_sort,0.0 ns
4,50,count_sort,0.0 ns
4,50,bucket_sort,378.0 ns
4,50,radix_sort,0.0 ns
5,50,bubble_sort,74761.0 ns
5,50,selection_sort,46820.0 ns
5,50,insertion_sort,38136.0 ns
5,50,heap_sort,378.0 ns
5,50,merge_sort,0.0 ns
5,50,quick_sort,378.0 ns
5,50,count_sort,0.0 ns
5,50,bucket_sort,1133.0 ns
5,50,radix_sort,0.0 ns
6,50,bubble_sort,75517.0 ns
6,50,selection_sort,47575.0 ns
6,50,insertion_sort,40401.0 ns
6,50,heap_sort,378.0 ns
6,50,merge_sort,-377.0 ns
6,50,quick_sort,377.0 ns
6,50,count_sort,0.0 ns
6,50,bucket_sort,377.0 ns
6,50,radix_sort,378.0 ns
7,50,bubble_sort,71740.0 ns
7,50,selection_sort,46820.0 ns
7,50,insertion_sort,34737.0 ns
7,50,heap_sort,377.0 ns
7,50,merge_sort,-755.0 ns
7,50,quick_sort,0.0 ns
7,50,count_sort,0.0 ns
7,50,bucket_sort,0.0 ns
7,50,radix_sort,0.0 ns
8,50,bubble_sort,74761.0 ns
8,50,selection_sort,44933.0 ns
8,50,insertion_sort,38890.0 ns
8,50,heap_sort,377.0 ns
8,50,merge_sort,-378.0 ns
8,50,quick_sort,377.0 ns
8,50,count_sort,378.0 ns
