test_id,array_size,sort_method,timestamp
0,1000,bubble_sort,1189756.0 ns
0,1000,selection_sort,660011.0 ns
0,1000,insertion_sort,481416.0 ns
0,1000,heap_sort,756.0 ns
0,1000,merge_sort,0.0 ns
0,1000,quick_sort,377.0 ns
0,1000,count_sort,0.0 ns
0,1000,bucket_sort,378.0 ns
0,1000,radix_sort,0.0 ns
1,1000,bubble_sort,801981.0 ns
1,1000,selection_sort,411185.0 ns
1,1000,insertion_sort,489722.0 ns
1,1000,heap_sort,378.0 ns
1,1000,merge_sort,0.0 ns
1,1000,quick_sort,378.0 ns
1,1000,count_sort,377.0 ns
1,1000,bucket_sort,0.0 ns
1,1000,radix_sort,0.0 ns
2,1000,bubble_sort,1056470.0 ns
2,1000,selection_sort,752895.0 ns
2,1000,insertion_sort,471221.0 ns
2,1000,heap_sort,755.0 ns
2,1000,merge_sort,-378.0 ns
2,1000,quick_sort,377.0 ns
2,1000,count_sort,377.0 ns
2,1000,bucket_sort,378.0 ns
2,1000,radix_sort,378.0 ns
3,1000,bubble_sort,1236198.0 ns
3,1000,selection_sort,766866.0 ns
3,1000,insertion_sort,464424.0 ns
3,1000,heap_sort,377.0 ns
3,1000,merge_sort,-378.0 ns
3,1000,quick_sort,378.0 ns
3,1000,count_sort,0.0 ns
3,1000,bucket_sort,378.0 ns
3,1000,radix_sort,378.0 ns
4,1000,bubble_sort,1251680.0 ns
4,1000,selection_sort,796695.0 ns
4,1000,insertion_sort,525592.0 ns
4,1000,heap_sort,378.0 ns
4,1000,merge_sort,0.0 ns
4,1000,quick_sort,0.0 ns
4,1000,count_sort,378.0 ns
4,1000,bucket_sort,0.0 ns
4,1000,radix_sort,378.0 ns
5,1000,bubble_sort,1243372.0 ns
5,1000,selection_sort,764978.0 ns
5,1000,insertion_sort,452719.0 ns
5,1000,heap_sort,377.0 ns
5,1000,merge_sort,-378.0 ns
5,1000,quick_sort,378.0 ns
5,1000,count_sort,378.0 ns
5,1000,bucket_sort,0.0 ns
5,1000,radix_sort,378.0 ns
6,1000,bubble_sort,1176541.0 ns
6,1000,selection_sort,753651.0 ns
6,1000,insertion_sort,479150.0 ns
6,1000,heap_sort,1133.0 ns
6,1000,merge_sort,-378.0 ns
6,1000,quick_sort,378.0 ns
6,1000,count_sort,0.0 ns
6,1000,bucket_sort,378.0 ns
6,1000,radix_sort,0.0 ns
7,1000,bubble_sort,1167479.0 ns
7,1000,selection_sort,686441.0 ns
7,1000,insertion_sort,456495.0 ns
7,1000,heap_sort,755.0 ns
7,1000,merge_sort,-755.0 ns
7,1000,quick_sort,755.0 ns
7,1000,count_sort,378.0 ns
7,1000,bucket_sort,377.0 ns
7,1000,radix_sort,377.0 ns
8,1000,bubble_sort,1098004.0 ns
8,1000,selection_sort,617344.0 ns
8,1000,insertion_sort,486323.0 ns
8,1000,heap_sort,755.0 ns
8,1000,merge_sort,0.0 ns
8,1000,quick_sort,0.0 ns
8,1000,count_sort,0.0 ns
8,1000,bucket_sort,378.0 ns
8,1000,radix_sort,378.0 ns
9,1000,bubble_sort,803869.0 ns
9,1000,selection_sort,410430.0 ns
9,1000,insertion_sort,472731.0 ns
9,1000,heap_sort,0.0 ns
9,1000,merge_sort,-377.0 ns
9,1000,quick_sort,0.0 ns
9,1000,count_sort,378.0 ns
9,1000,bucket_sort,378.0 ns
9,1000,radix_sort,0.0 ns
10,1000,bubble_sort,807267.0 ns
10,1000,selection_sort,433462.0 ns
10,1000,insertion_sort,484058.0 ns
10,1000,heap_sort,0.0 ns
10,1000,merge_sort,-377.0 ns
10,1000,quick_sort,0.0 ns
10,1000,count_sort,0.0 ns
10,1000,bucket_sort,0.0 ns
10,1000,radix_sort,378.0 ns
11,1000,bubble_sort,793297.0 ns
11,1000,selection_sort,407787.0 ns
11,1000,insertion_sort,480282.0 ns
11,1000,heap_sort,0.0 ns
11,1000,merge_sort,0.0 ns
11,1000,quick_sort,0.0 ns
11,1000,count_sort,0.0 ns
11,1000,bucket_sort,0.0 ns
11,1000,radix_sort,0.0 ns
12,1000,bubble_sort,795562.0 ns
12,1000,selection_sort,408542.0 ns
12,1000,insertion_sort,494253.0 ns
12,1000,heap_sort,0.0 ns
12,1000,merge_sort,0.0 ns
12,1000,quick_sort,0.0 ns
12,1000,count_sort,0.0 ns
12,1000,bucket_sort,377.0 ns
12,1000,radix_sort,0.0 ns
13,1000,bubble_sort,798206.0 ns
13,1000,selection_sort,411940.0 ns
13,1000,insertion_sort,477262.0 ns
13,1000,heap_sort,0.0 ns
13,1000,merge_sort,0.0 ns
13,1000,quick_sort,378.0 ns
13,1000,count_sort,0.0 ns
13,1000,bucket_sort,378.0 ns
13,1000,radix_sort,0.0 ns
14,1000,bubble_sort,817839.0 ns
14,1000,selection_sort,410430.0 ns
14,1000,insertion_sort,485569.0 ns
14,1000,heap_sort,378.0 ns
14,1000,merge_sort,0.0 ns
14,1000,quick_sort,0.0 ns
14,1000,count_sort,377.0 ns
14,1000,bucket_sort,0.0 ns
14,1000,radix_sort,0.0 ns
15,1000,bubble_sort,819349.0 ns
15,1000,selection_sort,413451.0 ns
15,1000,insertion_sort,490100.0 ns
15,1000,heap_sort,378.0 ns
15,1000,merge_sort,-378.0 ns
15,1000,quick_sort,0.0 ns
15,1000,count_sort,0.0 ns
15,1000,bucket_sort,0.0 ns
15,1000,radix_sort,378.0 ns
16,1000,bubble_sort,808022.0 ns
16,1000,selection_sort,464047.0 ns
16,1000,insertion_sort,469332.0 ns
16,1000,heap_sort,378.0 ns
16,1000,merge_sort,0.0 ns
16,1000,quick_sort,0.0 ns
16,1000,count_sort,0.0 ns
16,1000,bucket_sort,378.0 ns
16,1000,radix_sort,0.0 ns
17,1000,bubble_sort,811043.0 ns
17,1000,selection_sort,410430.0 ns
17,1000,insertion_sort,477639.0 ns
17,1000,heap_sort,0.0 ns
17,1000,merge_sort,0.0 ns
17,1000,quick_sort,0.0 ns
17,1000,count_sort,0.0 ns
17,1000,bucket_sort,0.0 ns
17,1000,radix_sort,378.0 ns
18,1000,bubble_sort,799715.0 ns
18,1000,selection_sort,409298.0 ns
18,1000,insertion_sort,460648.0 ns
18,1000,heap_sort,377.0 ns
18,1000,merge_sort,0.0 ns
18,1000,quick_sort,0.0 ns
18,1000,count_sort,378.0 ns
18,1000,bucket_sort,0.0 ns
18,1000,radix_sort,378.0 ns
19,1000,bubble_sort,789520.0 ns
19,1000,selection_sort,408542.0 ns
19,1000,insertion_sort,479150.0 ns
19,1000,heap_sort,0.0 ns
19,1000,merge_sort,0.0 ns
19,1000,quick_sort,378.0 ns
19,1000,count_sort,0.0 ns
19,1000,bucket_sort,0.0 ns
19,1000,radix_sort,0.0 ns
20,1000,bubble_sort,809911.0 ns
20,1000,selection_sort,409675.0 ns
20,1000,insertion_sort,470465.0 ns
20,1000,heap_sort,0.0 ns
20,1000,merge_sort,0.0 ns
20,1000,quick_sort,0.0 ns
20,1000,count_sort,0.0 ns
20,1000,bucket_sort,378.0 ns
20,1000,radix_sort,378.0 ns
21,1000,bubble_sort,794051.0 ns
21,1000,selection_sort,409675.0 ns
21,1000,insertion_sort,462159.0 ns
21,1000,heap_sort,0.0 ns
21,1000,merge_sort,-378.0 ns
21,1000,quick_sort,0.0 ns
21,1000,count_sort,378.0 ns
21,1000,bucket_sort,0.0 ns
21,1000,radix_sort,0.0 ns
22,1000,bubble_sort,795185.0 ns
22,1000,selection_sort,410807.0 ns
22,1000,insertion_sort,470843.0 ns
22,1000,heap_sort,0.0 ns
22,1000,merge_sort,-377.0 ns
22,1000,quick_sort,378.0 ns
22,1000,count_sort,378.0 ns
22,1000,bucket_sort,0.0 ns
22,1000,radix_sort,0.0 ns
23,1000,bubble_sort,813686.0 ns
23,1000,selection_sort,410052.0 ns
23,1000,insertion_sort,477639.0 ns
23,1000,heap_sort,378.0 ns
23,1000,merge_sort,0.0 ns
23,1000,quick_sort,378.0 ns
23,1000,count_sort,0.0 ns
23,1000,bucket_sort,0.0 ns
23,1000,radix_sort,0.0 ns
24,1000,bubble_sort,798961.0 ns
24,1000,selection_sort,410430.0 ns
24,1000,insertion_sort,490854.0 ns
24,1000,heap_sort,378.0 ns
24,1000,merge_sort,0.0 ns
24,1000,quick_sort,0.0 ns
24,1000,count_sort,755.0 ns
24,1000,bucket_sort,755.0 ns
24,1000,radix_sort,378.0 ns
25,1000,bubble_sort,797450.0 ns
25,1000,selection_sort,408542.0 ns
25,1000,insertion_sort,488967.0 ns
25,1000,heap_sort,0.0 ns
25,1000,merge_sort,-378.0 ns
25,1000,quick_sort,377.0 ns
25,1000,count_sort,0.0 ns
25,1000,bucket_sort,0.0 ns
25,1000,radix_sort,0.0 ns
