test_id,array_size,sort_method,timestamp
0,10,bubble_sort,3398.0 ns
0,10,selection_sort,8307.0 ns
0,10,insertion_sort,4153.0 ns
0,10,merge_sort,1133.0 ns
0,10,quick_sort,755.0 ns
0,10,count_sort,377.0 ns
0,10,bucket_sort,755.0 ns
0,10,radix_sort,755.0 ns
1,10,bubble_sort,3776.0 ns
1,10,selection_sort,3021.0 ns
1,10,insertion_sort,3398.0 ns
1,10,merge_sort,378.0 ns
1,10,quick_sort,378.0 ns
1,10,count_sort,378.0 ns
1,10,bucket_sort,378.0 ns
1,10,radix_sort,378.0 ns
2,10,bubble_sort,3398.0 ns
2,10,selection_sort,3020.0 ns
2,10,insertion_sort,2266.0 ns
2,10,merge_sort,0.0 ns
2,10,quick_sort,378.0 ns
2,10,count_sort,0.0 ns
2,10,bucket_sort,0.0 ns
2,10,radix_sort,0.0 ns
3,10,bubble_sort,3021.0 ns
3,10,selection_sort,2265.0 ns
3,10,insertion_sort,1888.0 ns
3,10,merge_sort,378.0 ns
3,10,quick_sort,0.0 ns
3,10,count_sort,378.0 ns
3,10,bucket_sort,0.0 ns
3,10,radix_sort,0.0 ns
4,10,bubble_sort,5664.0 ns
4,10,selection_sort,4153.0 ns
4,10,insertion_sort,2643.0 ns
4,10,merge_sort,377.0 ns
4,10,quick_sort,378.0 ns
4,10,count_sort,378.0 ns
4,10,bucket_sort,377.0 ns
4,10,radix_sort,0.0 ns
5,10,bubble_sort,3020.0 ns
5,10,selection_sort,4531.0 ns
5,10,insertion_sort,12082.0 ns
5,10,merge_sort,377.0 ns
5,10,quick_sort,1133.0 ns
5,10,count_sort,378.0 ns
5,10,bucket_sort,378.0 ns
5,10,radix_sort,0.0 ns
6,10,bubble_sort,3776.0 ns
6,10,selection_sort,3021.0 ns
6,10,insertion_sort,3020.0 ns
6,10,merge_sort,377.0 ns
6,10,quick_sort,0.0 ns
6,10,count_sort,0.0 ns
6,10,bucket_sort,0.0 ns
6,10,radix_sort,378.0 ns
7,10,bubble_sort,3397.0 ns
7,10,selection_sort,3021.0 ns
7,10,insertion_sort,2644.0 ns
7,10,merge_sort,1133.0 ns
7,10,quick_sort,377.0 ns
7,10,count_sort,377.0 ns
7,10,bucket_sort,0.0 ns
7,10,radix_sort,0.0 ns
8,10,bubble_sort,3398.0 ns
8,10,selection_sort,3020.0 ns
8,10,insertion_sort,2266.0 ns
8,10,merge_sort,377.0 ns
8,10,quick_sort,0.0 ns
8,10,count_sort,0.0 ns
8,10,bucket_sort,378.0 ns
