test_id,array_size,sort_method,timestamp
0,10000,bubble_sort,188.0 ms
0,10000,selection_sort,46.0 ms
0,10000,insertion_sort,47.0 ms
0,10000,heap_sort,0.0 ms
0,10000,merge_sort,0.0 ms
0,10000,quick_sort,0.0 ms
0,10000,count_sort,0.0 ms
0,10000,bucket_sort,0.0 ms
0,10000,radix_sort,-3.77303775172882E14 ms
1,10000,bubble_sort,188.0 ms
1,10000,selection_sort,47.0 ms
1,10000,insertion_sort,46.0 ms
1,10000,heap_sort,0.0 ms
1,10000,merge_sort,0.0 ms
1,10000,quick_sort,0.0 ms
1,10000,count_sort,0.0 ms
1,10000,bucket_sort,0.0 ms
1,10000,radix_sort,-3.77304048643947E14 ms
2,10000,bubble_sort,219.0 ms
2,10000,selection_sort,47.0 ms
2,10000,insertion_sort,47.0 ms
2,10000,heap_sort,0.0 ms
2,10000,merge_sort,0.0 ms
2,10000,quick_sort,0.0 ms
2,10000,count_sort,0.0 ms
2,10000,bucket_sort,0.0 ms
2,10000,radix_sort,-3.77304374208627E14 ms
3,10000,bubble_sort,187.0 ms
3,10000,selection_sort,47.0 ms
3,10000,insertion_sort,47.0 ms
3,10000,heap_sort,0.0 ms
3,10000,merge_sort,0.0 ms
3,10000,quick_sort,0.0 ms
3,10000,count_sort,0.0 ms
3,10000,bucket_sort,0.0 ms
3,10000,radix_sort,-3.77304644595615E14 ms
4,10000,bubble_sort,203.0 ms
4,10000,selection_sort,63.0 ms
4,10000,insertion_sort,46.0 ms
4,10000,heap_sort,0.0 ms
4,10000,merge_sort,0.0 ms
4,10000,quick_sort,0.0 ms
4,10000,count_sort,0.0 ms
4,10000,bucket_sort,0.0 ms
4,10000,radix_sort,-3.77304967210259E14 ms
5,10000,bubble_sort,204.0 ms
5,10000,selection_sort,46.0 ms
5,10000,insertion_sort,47.0 ms
5,10000,heap_sort,0.0 ms
5,10000,merge_sort,0.0 ms
5,10000,quick_sort,0.0 ms
5,10000,count_sort,0.0 ms
5,10000,bucket_sort,0.0 ms
5,10000,radix_sort,-3.77305252107272E14 ms
6,10000,bubble_sort,172.0 ms
6,10000,selection_sort,47.0 ms
