test_id,array_size,sort_method,timestamp
0,100,bubble_sort,66832.0 ns
0,100,selection_sort,47575.0 ns
0,100,insertion_sort,586005.0 ns
0,100,heap_sort,755.0 ns
0,100,merge_sort,-755.0 ns
0,100,quick_sort,377.0 ns
0,100,count_sort,378.0 ns
0,100,bucket_sort,0.0 ns
0,100,radix_sort,378.0 ns
1,100,bubble_sort,56260.0 ns
1,100,selection_sort,49841.0 ns
1,100,insertion_sort,27186.0 ns
1,100,heap_sort,755.0 ns
1,100,merge_sort,-756.0 ns
1,100,quick_sort,1133.0 ns
1,100,count_sort,378.0 ns
1,100,bucket_sort,377.0 ns
1,100,radix_sort,378.0 ns
2,100,bubble_sort,71363.0 ns
2,100,selection_sort,46820.0 ns
2,100,insertion_sort,28696.0 ns
2,100,heap_sort,378.0 ns
2,100,merge_sort,0.0 ns
2,100,quick_sort,0.0 ns
2,100,count_sort,377.0 ns
2,100,bucket_sort,378.0 ns
2,100,radix_sort,0.0 ns
3,100,bubble_sort,58902.0 ns
3,100,selection_sort,43044.0 ns
3,100,insertion_sort,30962.0 ns
3,100,heap_sort,0.0 ns
3,100,merge_sort,0.0 ns
3,100,quick_sort,0.0 ns
3,100,count_sort,378.0 ns
3,100,bucket_sort,0.0 ns
3,100,radix_sort,378.0 ns
4,100,bubble_sort,60413.0 ns
4,100,selection_sort,37758.0 ns
4,100,insertion_sort,27941.0 ns
4,100,heap_sort,378.0 ns
4,100,merge_sort,-377.0 ns
4,100,quick_sort,377.0 ns
4,100,count_sort,377.0 ns
4,100,bucket_sort,377.0 ns
4,100,radix_sort,378.0 ns
5,100,bubble_sort,57393.0 ns
5,100,selection_sort,38891.0 ns
5,100,insertion_sort,24920.0 ns
5,100,heap_sort,377.0 ns
5,100,merge_sort,0.0 ns
5,100,quick_sort,378.0 ns
5,100,count_sort,377.0 ns
5,100,bucket_sort,378.0 ns
5,100,radix_sort,0.0 ns
6,100,bubble_sort,58525.0 ns
6,100,selection_sort,40024.0 ns
6,100,insertion_sort,29828.0 ns
6,100,heap_sort,378.0 ns
6,100,merge_sort,0.0 ns
6,100,quick_sort,377.0 ns
6,100,count_sort,378.0 ns
6,100,bucket_sort,0.0 ns
6,100,radix_sort,378.0 ns
7,100,bubble_sort,60035.0 ns
7,100,selection_sort,38513.0 ns
7,100,insertion_sort,30206.0 ns
7,100,heap_sort,377.0 ns
7,100,merge_sort,0.0 ns
7,100,quick_sort,0.0 ns
7,100,count_sort,378.0 ns
7,100,bucket_sort,378.0 ns
7,100,radix_sort,378.0 ns
8,100,bubble_sort,60035.0 ns
8,100,selection_sort,39646.0 ns
8,100,insertion_sort,30207.0 ns
8,100,heap_sort,0.0 ns
8,100,merge_sort,-378.0 ns
8,100,quick_sort,377.0 ns
8,100,count_sort,0.0 ns
8,100,bucket_sort,0.0 ns
8,100,radix_sort,378.0 ns
9,100,bubble_sort,55504.0 ns
9,100,selection_sort,38891.0 ns
9,100,insertion_sort,26430.0 ns
9,100,heap_sort,0.0 ns
9,100,merge_sort,0.0 ns
9,100,quick_sort,0.0 ns
9,100,count_sort,0.0 ns
9,100,bucket_sort,378.0 ns
9,100,radix_sort,378.0 ns
10,100,bubble_sort,58902.0 ns
10,100,selection_sort,38514.0 ns
10,100,insertion_sort,28318.0 ns
10,100,heap_sort,0.0 ns
10,100,merge_sort,0.0 ns
10,100,quick_sort,0.0 ns
10,100,count_sort,378.0 ns
10,100,bucket_sort,378.0 ns
10,100,radix_sort,0.0 ns
11,100,bubble_sort,58148.0 ns
11,100,selection_sort,40401.0 ns
11,100,insertion_sort,29073.0 ns
11,100,heap_sort,377.0 ns
11,100,merge_sort,-377.0 ns
11,100,quick_sort,378.0 ns
11,100,count_sort,0.0 ns
11,100,bucket_sort,377.0 ns
11,100,radix_sort,378.0 ns
12,100,bubble_sort,58903.0 ns
12,100,selection_sort,38135.0 ns
12,100,insertion_sort,29829.0 ns
12,100,heap_sort,0.0 ns
12,100,merge_sort,-378.0 ns
12,100,quick_sort,378.0 ns
12,100,count_sort,378.0 ns
12,100,bucket_sort,378.0 ns
12,100,radix_sort,0.0 ns
13,100,bubble_sort,59280.0 ns
13,100,selection_sort,42289.0 ns
13,100,insertion_sort,29074.0 ns
13,100,heap_sort,0.0 ns
13,100,merge_sort,0.0 ns
13,100,quick_sort,377.0 ns
13,100,count_sort,0.0 ns
13,100,bucket_sort,0.0 ns
13,100,radix_sort,0.0 ns
14,100,bubble_sort,59281.0 ns
14,100,selection_sort,48708.0 ns
14,100,insertion_sort,30961.0 ns
14,100,heap_sort,0.0 ns
14,100,merge_sort,-378.0 ns
14,100,quick_sort,0.0 ns
14,100,count_sort,0.0 ns
14,100,bucket_sort,0.0 ns
14,100,radix_sort,0.0 ns
15,100,bubble_sort,59658.0 ns
15,100,selection_sort,38513.0 ns
15,100,insertion_sort,29074.0 ns
15,100,heap_sort,0.0 ns
15,100,merge_sort,-377.0 ns
15,100,quick_sort,378.0 ns
15,100,count_sort,0.0 ns
15,100,bucket_sort,378.0 ns
15,100,radix_sort,378.0 ns
16,100,bubble_sort,57392.0 ns
16,100,selection_sort,40778.0 ns
16,100,insertion_sort,26808.0 ns
16,100,heap_sort,0.0 ns
16,100,merge_sort,-378.0 ns
16,100,quick_sort,0.0 ns
16,100,count_sort,378.0 ns
16,100,bucket_sort,377.0 ns
16,100,radix_sort,0.0 ns
17,100,bubble_sort,69097.0 ns
17,100,selection_sort,39646.0 ns
17,100,insertion_sort,30961.0 ns
17,100,heap_sort,378.0 ns
17,100,merge_sort,0.0 ns
17,100,quick_sort,0.0 ns
17,100,count_sort,377.0 ns
17,100,bucket_sort,0.0 ns
17,100,radix_sort,0.0 ns
18,100,bubble_sort,59280.0 ns
18,100,selection_sort,37758.0 ns
18,100,insertion_sort,26809.0 ns
18,100,heap_sort,0.0 ns
18,100,merge_sort,-378.0 ns
18,100,quick_sort,378.0 ns
18,100,count_sort,0.0 ns
18,100,bucket_sort,378.0 ns
18,100,radix_sort,377.0 ns
19,100,bubble_sort,58525.0 ns
19,100,selection_sort,38513.0 ns
19,100,insertion_sort,29829.0 ns
19,100,heap_sort,0.0 ns
19,100,merge_sort,0.0 ns
19,100,quick_sort,378.0 ns
19,100,count_sort,378.0 ns
19,100,bucket_sort,377.0 ns
19,100,radix_sort,0.0 ns
20,100,bubble_sort,58147.0 ns
20,100,selection_sort,40024.0 ns
20,100,insertion_sort,29074.0 ns
20,100,heap_sort,378.0 ns
20,100,merge_sort,-377.0 ns
20,100,quick_sort,377.0 ns
20,100,count_sort,0.0 ns
20,100,bucket_sort,0.0 ns
20,100,radix_sort,378.0 ns
21,100,bubble_sort,60035.0 ns
21,100,selection_sort,38136.0 ns
21,100,insertion_sort,27941.0 ns
21,100,heap_sort,377.0 ns
21,100,merge_sort,-378.0 ns
21,100,quick_sort,0.0 ns
21,100,count_sort,378.0 ns
21,100,bucket_sort,0.0 ns
21,100,radix_sort,0.0 ns
22,100,bubble_sort,58525.0 ns
22,100,selection_sort,40024.0 ns
22,100,insertion_sort,30584.0 ns
22,100,heap_sort,377.0 ns
22,100,merge_sort,0.0 ns
22,100,quick_sort,377.0 ns
22,100,count_sort,378.0 ns
22,100,bucket_sort,377.0 ns
22,100,radix_sort,0.0 ns
23,100,bubble_sort,59658.0 ns
23,100,selection_sort,38891.0 ns
23,100,insertion_sort,28319.0 ns
23,100,heap_sort,377.0 ns
23,100,merge_sort,0.0 ns
23,100,quick_sort,0.0 ns
23,100,count_sort,377.0 ns
23,100,bucket_sort,377.0 ns
23,100,radix_sort,377.0 ns
24,100,bubble_sort,104967.0 ns
24,100,selection_sort,50218.0 ns
24,100,insertion_sort,33605.0 ns
24,100,heap_sort,755.0 ns
24,100,merge_sort,-377.0 ns
24,100,quick_sort,377.0 ns
24,100,count_sort,378.0 ns
24,100,bucket_sort,378.0 ns
24,100,radix_sort,377.0 ns
25,100,bubble_sort,67964.0 ns
25,100,selection_sort,47952.0 ns
25,100,insertion_sort,35871.0 ns
25,100,heap_sort,1133.0 ns
25,100,merge_sort,0.0 ns
25,100,quick_sort,0.0 ns
25,100,count_sort,0.0 ns
25,100,bucket_sort,0.0 ns
25,100,radix_sort,378.0 ns
26,100,bubble_sort,67210.0 ns
26,100,selection_sort,47198.0 ns
26,100,insertion_sort,30206.0 ns
26,100,heap_sort,378.0 ns
26,100,merge_sort,-378.0 ns
26,100,quick_sort,378.0 ns
26,100,count_sort,378.0 ns
26,100,bucket_sort,378.0 ns
26,100,radix_sort,377.0 ns
27,100,bubble_sort,67210.0 ns
27,100,selection_sort,50596.0 ns
27,100,insertion_sort,35870.0 ns
27,100,heap_sort,4909.0 ns
27,100,merge_sort,-1510.0 ns
27,100,quick_sort,1133.0 ns
27,100,count_sort,1510.0 ns
27,100,bucket_sort,1133.0 ns
27,100,radix_sort,1133.0 ns
28,100,bubble_sort,64189.0 ns
28,100,selection_sort,49463.0 ns
28,100,insertion_sort,38135.0 ns
28,100,heap_sort,377.0 ns
28,100,merge_sort,-378.0 ns
28,100,quick_sort,0.0 ns
28,100,count_sort,0.0 ns
28,100,bucket_sort,377.0 ns
28,100,radix_sort,378.0 ns
29,100,bubble_sort,68342.0 ns
29,100,selection_sort,47575.0 ns
29,100,insertion_sort,39646.0 ns
29,100,heap_sort,377.0 ns
29,100,merge_sort,-377.0 ns
29,100,quick_sort,0.0 ns
29,100,count_sort,378.0 ns
29,100,bucket_sort,756.0 ns
29,100,radix_sort,377.0 ns
30,100,bubble_sort,63434.0 ns
30,100,selection_sort,45687.0 ns
30,100,insertion_sort,30584.0 ns
30,100,heap_sort,756.0 ns
30,100,merge_sort,-378.0 ns
30,100,quick_sort,0.0 ns
30,100,count_sort,377.0 ns
30,100,bucket_sort,378.0 ns
30,100,radix_sort,755.0 ns
31,100,bubble_sort,170289.0 ns
31,100,selection_sort,47576.0 ns
31,100,insertion_sort,37003.0 ns
31,100,heap_sort,377.0 ns
31,100,merge_sort,0.0 ns
31,100,quick_sort,378.0 ns
31,100,count_sort,378.0 ns
31,100,bucket_sort,377.0 ns
31,100,radix_sort,378.0 ns
32,100,bubble_sort,67209.0 ns
32,100,selection_sort,49463.0 ns
32,100,insertion_sort,38513.0 ns
32,100,heap_sort,377.0 ns
32,100,merge_sort,-378.0 ns
